,plate,well,D12,D3,strain,condition,auc,dgr
70,2,G9,empty,sh33,BY4741,MTX,8.242345,0.03508
71,2,H9,empty,sh34,BY4741,MTX,12.018740000000001,0.05372000000000021
72,2,A10,empty,GRB2,BY4741,MTX,13.541010000000002,0.056319999999999926
73,2,B10,empty,pdz1,BY4741,MTX,6.9261550000000005,0.02967999999999993
74,2,C10,empty,pdz2,BY4741,MTX,5.0980574999999995,0.01324000000000003
75,2,D10,empty,pdz3,BY4741,MTX,11.331032500000003,0.05571999999999999
76,2,E10,empty,sh31,BY4741,MTX,9.066324999999999,0.040079999999999893
77,2,F10,empty,sh32,BY4741,MTX,7.240840000000001,0.02967999999999993
78,2,G10,empty,sh33,BY4741,MTX,10.85842,0.05080000000000018
79,2,H10,empty,sh34,BY4741,MTX,16.6909,0.06239999999999979
80,2,A11,empty,GRB2,BY4741,MTX,16.9988575,0.05107999999999979
81,2,B11,empty,pdz1,BY4741,MTX,11.050139999999999,0.045520000000000005
82,2,C11,empty,pdz2,BY4741,MTX,4.732502499999998,0.014000000000000012
83,2,D11,empty,pdz3,BY4741,MTX,14.429144999999998,0.05852000000000013
84,2,E11,empty,sh31,BY4741,MTX,7.731224999999999,0.03188000000000013
85,2,F11,empty,sh32,BY4741,MTX,6.1898599999999995,0.021079999999999988
86,2,G11,empty,sh33,BY4741,MTX,8.663525,0.034720000000000084
87,2,H11,empty,sh34,BY4741,MTX,11.521005,0.054319999999999924
88,2,A12,empty,GRB2,BY4741,MTX,12.590402500000003,0.053279999999999994
89,2,B12,empty,pdz1,BY4741,MTX,12.412447500000003,0.040080000000000116
90,2,C12,empty,pdz2,BY4741,MTX,7.3031075,0.015000000000000013
91,2,D12,empty,pdz3,BY4741,MTX,12.7634625,0.05983999999999989
92,2,E12,empty,sh31,BY4741,MTX,5.710207500000001,0.020399999999999974
93,2,F12,empty,sh32,BY4741,MTX,4.844797499999999,0.016800000000000037
94,2,G12,empty,sh33,BY4741,MTX,4.6611924999999985,0.015599999999999947
95,2,H12,empty,sh34,BY4741,MTX,7.481995000000001,0.030159999999999965
96,1,A1,empty,gbd1,BY4741,MTX,8.713085,0.014680000000000026
97,1,B1,empty,gab2,BY4741,MTX,20.56902,0.05508000000000002
