,D12,well,D3,strain,estradiol,replicate,plate,auc,dgr
70,sh33,G9,pdz1,PL0012,10,3,1.0,10.1935,0.040000000000000036
71,sh33,H9,pdz3,PL0012,10,3,1.0,12.915999999999999,0.05600000000000005
72,pdz1,A10,sh31,PL0012,20,1,1.0,46.63849999999999,0.08800000000000008
73,pdz1,B10,sh33,PL0012,20,1,1.0,4.8655,0.008000000000000007
74,pdz3,C10,sh31,PL0012,20,1,1.0,8.6105,0.028000000000000025
75,pdz3,D10,sh33,PL0012,20,1,1.0,7.848999999999999,0.02400000000000002
76,sh31,E10,pdz1,PL0012,20,1,1.0,65.53049999999999,0.10000000000000009
77,sh31,F10,pdz3,PL0012,20,1,1.0,25.615999999999996,0.08400000000000007
78,sh33,G10,pdz1,PL0012,20,1,1.0,12.049000000000001,0.0519999999999996
79,sh33,H10,pdz3,PL0012,20,1,1.0,12.0005,0.04800000000000004
80,pdz1,A11,sh31,PL0012,20,2,1.0,43.251000000000005,0.08800000000000008
81,pdz1,B11,sh33,PL0012,20,2,1.0,6.4155,0.01200000000000001
82,pdz3,C11,sh31,PL0012,20,2,1.0,9.9925,0.03600000000000003
83,pdz3,D11,sh33,PL0012,20,2,1.0,5.419500000000001,0.01200000000000001
84,sh31,E11,pdz1,PL0012,20,2,1.0,63.169,0.09600000000000009
85,sh31,F11,pdz3,PL0012,20,2,1.0,23.051000000000002,0.08000000000000007
86,sh33,G11,pdz1,PL0012,20,2,1.0,9.353499999999999,0.03600000000000003
87,sh33,H11,pdz3,PL0012,20,2,1.0,11.712,0.04400000000000004
88,pdz1,A12,sh31,PL0012,20,3,1.0,39.6895,0.07600000000000007
89,pdz1,B12,sh33,PL0012,20,3,1.0,8.761000000000001,0.02400000000000002
90,pdz3,C12,sh31,PL0012,20,3,1.0,8.745000000000001,0.028000000000000025
91,pdz3,D12,sh33,PL0012,20,3,1.0,7.699999999999999,0.020000000000000018
92,sh31,E12,pdz1,PL0012,20,3,1.0,64.05799999999999,0.09200000000000008
93,sh31,F12,pdz3,PL0012,20,3,1.0,22.465,0.07600000000000007
94,sh33,G12,pdz1,PL0012,20,3,1.0,8.6265,0.031999999999999806
95,sh33,H12,pdz3,PL0012,20,3,1.0,10.336,0.03200000000000003
96,pdz1,A1,sh31,PL0013,0,1,2.0,4.793,0.0040000000000000036
97,pdz1,B1,sh33,PL0013,0,1,2.0,4.554500000000001,0.0040000000000000036
98,pdz3,C1,sh31,PL0013,0,1,2.0,7.176500000000001,0.016000000000000014
99,pdz3,D1,sh33,PL0013,0,1,2.0,6.264,0.01200000000000001
100,sh31,E1,pdz1,PL0013,0,1,2.0,8.134500000000001,0.02400000000000002
101,sh31,F1,pdz3,PL0013,0,1,2.0,5.793,0.008000000000000007
102,sh33,G1,pdz1,PL0013,0,1,2.0,9.130999999999998,0.020000000000000018
103,sh33,H1,pdz3,PL0013,0,1,2.0,13.2275,0.04800000000000004
104,pdz1,A2,sh31,PL0013,0,2,2.0,4.6125,0.0040000000000000036
105,pdz1,B2,sh33,PL0013,0,2,2.0,3.9515000000000002,0.0040000000000000036
106,pdz3,C2,sh31,PL0013,0,2,2.0,8.518999999999998,0.028000000000000025
107,pdz3,D2,sh33,PL0013,0,2,2.0,6.0794999999999995,0.01200000000000001
108,sh31,E2,pdz1,PL0013,0,2,2.0,9.527499999999998,0.02400000000000002
109,sh31,F2,pdz3,PL0013,0,2,2.0,6.951,0.016000000000000014
110,sh33,G2,pdz1,PL0013,0,2,2.0,8.2265,0.020000000000000018
111,sh33,H2,pdz3,PL0013,0,2,2.0,10.0525,0.03199999999999992
112,pdz1,A3,sh31,PL0013,0,3,2.0,3.1385000000000005,0.0040000000000000036
113,pdz1,B3,sh33,PL0013,0,3,2.0,4.5425,0.0040000000000000036
114,pdz3,C3,sh31,PL0013,0,3,2.0,6.0665000000000004,0.016000000000000014
115,pdz3,D3,sh33,PL0013,0,3,2.0,4.799499999999999,0.01200000000000001
116,sh31,E3,pdz1,PL0013,0,3,2.0,11.296499999999998,0.03600000000000003
117,sh31,F3,pdz3,PL0013,0,3,2.0,7.0495,0.020000000000000018
118,sh33,G3,pdz1,PL0013,0,3,2.0,5.711,0.016000000000000014
119,sh33,H3,pdz3,PL0013,0,3,2.0,9.701,0.028000000000000025
120,pdz1,A4,sh31,PL0013,5,1,2.0,29.673000000000002,0.06800000000000006
121,pdz1,B4,sh33,PL0013,5,1,2.0,6.107499999999999,0.01200000000000001
