,D12,well,D3,strain,estradiol,replicate,plate,auc,dgr
321,pdz1,B5,sh33,PL0015,5,2,4.0,5.718999999999999,0.0040000000000000036
322,pdz3,C5,sh31,PL0015,5,2,4.0,8.361999999999998,0.020000000000000018
323,pdz3,D5,sh33,PL0015,5,2,4.0,6.497999999999999,0.008000000000000007
324,sh31,E5,pdz1,PL0015,5,2,4.0,21.276500000000002,0.06000000000000005
325,sh31,F5,pdz3,PL0015,5,2,4.0,10.454000000000002,0.02400000000000002
326,sh33,G5,pdz1,PL0015,5,2,4.0,6.709999999999999,0.008000000000000007
327,sh33,H5,pdz3,PL0015,5,2,4.0,13.458499999999999,0.040000000000000036
328,pdz1,A6,sh31,PL0015,5,3,4.0,11.0815,0.016000000000000014
329,pdz1,B6,sh33,PL0015,5,3,4.0,5.397499999999999,0.0040000000000000036
330,pdz3,C6,sh31,PL0015,5,3,4.0,8.6695,0.019999999999999796
331,pdz3,D6,sh33,PL0015,5,3,4.0,8.55,0.016000000000000014
332,sh31,E6,pdz1,PL0015,5,3,4.0,18.972500000000004,0.04800000000000004
333,sh31,F6,pdz3,PL0015,5,3,4.0,8.782499999999999,0.016000000000000014
334,sh33,G6,pdz1,PL0015,5,3,4.0,6.502500000000001,0.008000000000000007
335,sh33,H6,pdz3,PL0015,5,3,4.0,10.035499999999999,0.02400000000000002
336,pdz1,A7,sh31,PL0015,10,1,4.0,24.216,0.06400000000000006
337,pdz1,B7,sh33,PL0015,10,1,4.0,4.5809999999999995,0.0040000000000000036
338,pdz3,C7,sh31,PL0015,10,1,4.0,7.795499999999999,0.020000000000000018
339,pdz3,D7,sh33,PL0015,10,1,4.0,7.883999999999999,0.020000000000000018
340,sh31,E7,pdz1,PL0015,10,1,4.0,40.625,0.07600000000000007
341,sh31,F7,pdz3,PL0015,10,1,4.0,9.937,0.03200000000000003
342,sh33,G7,pdz1,PL0015,10,1,4.0,5.9815,0.01200000000000001
343,sh33,H7,pdz3,PL0015,10,1,4.0,8.3455,0.020000000000000018
344,pdz1,A8,sh31,PL0015,10,2,4.0,29.0675,0.07200000000000006
345,pdz1,B8,sh33,PL0015,10,2,4.0,4.2909999999999995,0.0040000000000000036
346,pdz3,C8,sh31,PL0015,10,2,4.0,8.325499999999998,0.02400000000000002
347,pdz3,D8,sh33,PL0015,10,2,4.0,6.355999999999999,0.01200000000000001
348,sh31,E8,pdz1,PL0015,10,2,4.0,45.0455,0.08400000000000007
349,sh31,F8,pdz3,PL0015,10,2,4.0,10.981,0.03200000000000003
350,sh33,G8,pdz1,PL0015,10,2,4.0,6.9254999999999995,0.01200000000000001
351,sh33,H8,pdz3,PL0015,10,2,4.0,10.432500000000001,0.03600000000000003
352,pdz1,A9,sh31,PL0015,10,3,4.0,21.211499999999997,0.05999999999999961
353,pdz1,B9,sh33,PL0015,10,3,4.0,5.9594999999999985,0.008000000000000007
354,pdz3,C9,sh31,PL0015,10,3,4.0,8.387,0.020000000000000018
355,pdz3,D9,sh33,PL0015,10,3,4.0,6.0809999999999995,0.008000000000000007
356,sh31,E9,pdz1,PL0015,10,3,4.0,39.912499999999994,0.08000000000000007
357,sh31,F9,pdz3,PL0015,10,3,4.0,10.683499999999999,0.03200000000000003
358,sh33,G9,pdz1,PL0015,10,3,4.0,6.6685,0.01200000000000001
359,sh33,H9,pdz3,PL0015,10,3,4.0,9.305499999999999,0.028000000000000025
360,pdz1,A10,sh31,PL0015,20,1,4.0,16.711499999999997,0.04800000000000004
361,pdz1,B10,sh33,PL0015,20,1,4.0,4.436999999999999,0.0040000000000000036
362,pdz3,C10,sh31,PL0015,20,1,4.0,6.396999999999999,0.01200000000000001
363,pdz3,D10,sh33,PL0015,20,1,4.0,7.1495,0.01200000000000001
364,sh31,E10,pdz1,PL0015,20,1,4.0,35.4945,0.07600000000000007
365,sh31,F10,pdz3,PL0015,20,1,4.0,7.627000000000001,0.020000000000000018
366,sh33,G10,pdz1,PL0015,20,1,4.0,7.536999999999999,0.020000000000000018
367,sh33,H10,pdz3,PL0015,20,1,4.0,8.4825,0.020000000000000018
368,pdz1,A11,sh31,PL0015,20,2,4.0,19.567,0.052000000000000046
369,pdz1,B11,sh33,PL0015,20,2,4.0,5.0805,0.008000000000000007
370,pdz3,C11,sh31,PL0015,20,2,4.0,7.498,0.016000000000000014
371,pdz3,D11,sh33,PL0015,20,2,4.0,6.845,0.008000000000000007
372,sh31,E11,pdz1,PL0015,20,2,4.0,30.392,0.06800000000000006
373,sh31,F11,pdz3,PL0015,20,2,4.0,9.350999999999999,0.020000000000000018
374,sh33,G11,pdz1,PL0015,20,2,4.0,6.7414999999999985,0.008000000000000007
375,sh33,H11,pdz3,PL0015,20,2,4.0,11.783499999999998,0.03200000000000003
376,pdz1,A12,sh31,PL0015,20,3,4.0,16.801000000000002,0.040000000000000036
377,pdz1,B12,sh33,PL0015,20,3,4.0,6.3469999999999995,0.0040000000000000036
378,pdz3,C12,sh31,PL0015,20,3,4.0,10.041,0.020000000000000018
379,pdz3,D12,sh33,PL0015,20,3,4.0,7.429999999999999,0.008000000000000007
380,sh31,E12,pdz1,PL0015,20,3,4.0,31.477999999999998,0.06800000000000006
381,sh31,F12,pdz3,PL0015,20,3,4.0,11.050499999999998,0.02400000000000002
382,sh33,G12,pdz1,PL0015,20,3,4.0,8.715500000000002,0.01200000000000001
383,sh33,H12,pdz3,PL0015,20,3,4.0,9.2205,0.02400000000000002
384,pdz1,B1,sh33,PL0016,0,1,5.0,4.9215,0.0040000000000000036
385,pdz3,C1,sh31,PL0016,0,1,5.0,7.659999999999999,0.01200000000000001
386,pdz3,D1,sh33,PL0016,0,1,5.0,5.5335,0.008000000000000007
387,sh31,E1,pdz1,PL0016,0,1,5.0,8.8575,0.020000000000000018
388,sh31,F1,pdz3,PL0016,0,1,5.0,10.4315,0.03200000000000003
389,sh33,G1,pdz1,PL0016,0,1,5.0,5.807500000000001,0.01200000000000001
390,sh33,H1,pdz3,PL0016,0,1,5.0,9.392,0.02400000000000002
391,pdz1,A2,sh31,PL0016,0,2,5.0,5.627000000000001,0.008000000000000007
392,pdz1,B2,sh33,PL0016,0,2,5.0,4.1665,0.0040000000000000036
393,pdz3,C2,sh31,PL0016,0,2,5.0,5.936,0.016000000000000014
394,pdz3,D2,sh33,PL0016,0,2,5.0,5.678,0.016000000000000014
395,sh31,E2,pdz1,PL0016,0,2,5.0,6.017000000000001,0.01200000000000001
396,sh31,F2,pdz3,PL0016,0,2,5.0,5.3015,0.016000000000000014
397,sh33,G2,pdz1,PL0016,0,2,5.0,3.7975000000000008,0.008000000000000007
398,sh33,H2,pdz3,PL0016,0,2,5.0,9.605999999999998,0.02400000000000002
399,pdz1,A3,sh31,PL0016,0,3,5.0,5.745,0.008000000000000007
400,pdz1,B3,sh33,PL0016,0,3,5.0,3.3645000000000005,0.0040000000000000036
401,pdz3,C3,sh31,PL0016,0,3,5.0,4.229,0.008000000000000007
402,pdz3,D3,sh33,PL0016,0,3,5.0,3.077000000000001,0.0040000000000000036
403,sh31,E3,pdz1,PL0016,0,3,5.0,6.102,0.01200000000000001
404,sh31,F3,pdz3,PL0016,0,3,5.0,4.752500000000001,0.01200000000000001
405,sh33,G3,pdz1,PL0016,0,3,5.0,4.7375,0.008000000000000007
406,sh33,H3,pdz3,PL0016,0,3,5.0,5.631500000000001,0.01200000000000001
407,pdz1,A4,sh31,PL0016,5,1,5.0,12.9765,0.03200000000000003
408,pdz1,B4,sh33,PL0016,5,1,5.0,4.742,0.0040000000000000036
409,pdz3,C4,sh31,PL0016,5,1,5.0,5.7245,0.008000000000000007
410,pdz3,D4,sh33,PL0016,5,1,5.0,5.856,0.01200000000000001
411,sh31,E4,pdz1,PL0016,5,1,5.0,29.0375,0.06000000000000005
412,sh31,F4,pdz3,PL0016,5,1,5.0,12.115999999999998,0.040000000000000036
413,sh33,G4,pdz1,PL0016,5,1,5.0,6.846999999999999,0.016000000000000014
414,sh33,H4,pdz3,PL0016,5,1,5.0,9.118500000000001,0.03200000000000003
415,pdz1,A5,sh31,PL0016,5,2,5.0,16.1605,0.040000000000000036
416,pdz1,B5,sh33,PL0016,5,2,5.0,4.123,0.0040000000000000036
417,pdz3,C5,sh31,PL0016,5,2,5.0,7.9245,0.016000000000000014
418,pdz3,D5,sh33,PL0016,5,2,5.0,4.882,0.0040000000000000036
419,sh31,E5,pdz1,PL0016,5,2,5.0,25.041,0.05600000000000005
420,sh31,F5,pdz3,PL0016,5,2,5.0,6.1855,0.015999999999999903
421,sh33,G5,pdz1,PL0016,5,2,5.0,6.271000000000001,0.020000000000000018
422,sh33,H5,pdz3,PL0016,5,2,5.0,8.738999999999999,0.020000000000000018
423,pdz1,A6,sh31,PL0016,5,3,5.0,11.9815,0.028000000000000025
424,pdz1,B6,sh33,PL0016,5,3,5.0,3.157000000000001,0.0040000000000000036
425,pdz3,C6,sh31,PL0016,5,3,5.0,5.189500000000001,0.008000000000000007
426,pdz3,D6,sh33,PL0016,5,3,5.0,4.2415,0.0040000000000000036
427,sh31,E6,pdz1,PL0016,5,3,5.0,22.357999999999997,0.06399999999999961
428,sh31,F6,pdz3,PL0016,5,3,5.0,5.721000000000001,0.016000000000000014
429,sh33,G6,pdz1,PL0016,5,3,5.0,4.761000000000001,0.008000000000000007
430,sh33,H6,pdz3,PL0016,5,3,5.0,6.3255,0.016000000000000014
431,pdz1,A7,sh31,PL0016,10,1,5.0,24.240000000000002,0.06800000000000006
432,pdz1,B7,sh33,PL0016,10,1,5.0,4.946999999999999,0.0040000000000000036
433,pdz3,C7,sh31,PL0016,10,1,5.0,7.801500000000001,0.02400000000000002
434,pdz3,D7,sh33,PL0016,10,1,5.0,4.8255,0.008000000000000007
435,sh31,E7,pdz1,PL0016,10,1,5.0,39.67,0.07200000000000006
436,sh31,F7,pdz3,PL0016,10,1,5.0,13.490499999999999,0.04800000000000004
437,sh33,G7,pdz1,PL0016,10,1,5.0,6.1525,0.01200000000000001
438,sh33,H7,pdz3,PL0016,10,1,5.0,9.6235,0.028000000000000025
439,pdz1,A8,sh31,PL0016,10,2,5.0,24.172,0.06400000000000006
440,pdz1,B8,sh33,PL0016,10,2,5.0,4.451,0.0040000000000000036
441,pdz3,C8,sh31,PL0016,10,2,5.0,8.2,0.02400000000000002
442,pdz3,D8,sh33,PL0016,10,2,5.0,5.7250000000000005,0.01200000000000001
443,sh31,E8,pdz1,PL0016,10,2,5.0,41.428,0.08000000000000007
444,sh31,F8,pdz3,PL0016,10,2,5.0,12.2585,0.040000000000000036
445,sh33,G8,pdz1,PL0016,10,2,5.0,5.69,0.01200000000000001
446,sh33,H8,pdz3,PL0016,10,2,5.0,7.69,0.020000000000000018
447,pdz1,A9,sh31,PL0016,10,3,5.0,20.261499999999998,0.06000000000000005
448,pdz1,B9,sh33,PL0016,10,3,5.0,4.507,0.0040000000000000036
449,pdz3,C9,sh31,PL0016,10,3,5.0,6.4595,0.015999999999999903
450,pdz3,D9,sh33,PL0016,10,3,5.0,4.1275,0.0040000000000000036
451,sh31,E9,pdz1,PL0016,10,3,5.0,33.8685,0.07600000000000007
452,sh31,F9,pdz3,PL0016,10,3,5.0,6.825000000000001,0.020000000000000018
453,sh33,G9,pdz1,PL0016,10,3,5.0,7.791,0.02400000000000002
454,sh33,H9,pdz3,PL0016,10,3,5.0,7.815999999999999,0.016000000000000014
455,pdz1,A10,sh31,PL0016,20,1,5.0,32.055,0.07600000000000007
456,pdz1,B10,sh33,PL0016,20,1,5.0,5.3715,0.008000000000000007
457,pdz3,C10,sh31,PL0016,20,1,5.0,7.878499999999999,0.02400000000000002
458,pdz3,D10,sh33,PL0016,20,1,5.0,4.23,0.008000000000000007
459,sh31,E10,pdz1,PL0016,20,1,5.0,47.55499999999999,0.08799999999999963
460,sh31,F10,pdz3,PL0016,20,1,5.0,17.5435,0.06800000000000006
461,sh33,G10,pdz1,PL0016,20,1,5.0,7.515499999999999,0.020000000000000018
462,sh33,H10,pdz3,PL0016,20,1,5.0,9.181000000000001,0.028000000000000025
463,pdz1,A11,sh31,PL0016,20,2,5.0,36.371500000000005,0.07200000000000006
464,pdz1,B11,sh33,PL0016,20,2,5.0,5.653,0.008000000000000007
465,pdz3,C11,sh31,PL0016,20,2,5.0,8.157499999999999,0.020000000000000018
466,pdz3,D11,sh33,PL0016,20,2,5.0,7.350499999999999,0.016000000000000014
467,sh31,E11,pdz1,PL0016,20,2,5.0,50.4565,0.08400000000000007
468,sh31,F11,pdz3,PL0016,20,2,5.0,16.4765,0.07600000000000007
469,sh33,G11,pdz1,PL0016,20,2,5.0,9.586500000000001,0.028000000000000025
470,sh33,H11,pdz3,PL0016,20,2,5.0,9.402,0.02400000000000002
471,pdz1,A12,sh31,PL0016,20,3,5.0,27.726000000000003,0.07200000000000006
472,pdz1,B12,sh33,PL0016,20,3,5.0,4.969,0.0040000000000000036
473,pdz3,C12,sh31,PL0016,20,3,5.0,8.6555,0.028000000000000025
474,pdz3,D12,sh33,PL0016,20,3,5.0,4.856,0.008000000000000007
475,sh31,E12,pdz1,PL0016,20,3,5.0,44.74749999999999,0.08800000000000008
476,sh31,F12,pdz3,PL0016,20,3,5.0,8.9945,0.028000000000000136
477,sh33,G12,pdz1,PL0016,20,3,5.0,6.631,0.01200000000000001
478,sh33,H12,pdz3,PL0016,20,3,5.0,6.8335,0.016000000000000014
479,pdz1,A1,sh31,PL0001,0,1,6.0,5.1114999999999995,0.0040000000000000036
480,pdz1,B1,sh33,PL0001,0,1,6.0,4.582,0.0040000000000000036
481,pdz3,C1,sh31,PL0001,0,1,6.0,4.979000000000001,0.0040000000000000036
482,pdz3,D1,sh33,PL0001,0,1,6.0,7.255000000000001,0.01200000000000001
483,sh31,E1,pdz1,PL0001,0,1,6.0,5.2715,0.01200000000000001
484,sh31,F1,pdz3,PL0001,0,1,6.0,7.427499999999999,0.01200000000000001
485,sh33,G1,pdz1,PL0001,0,1,6.0,6.215,0.008000000000000007
486,sh33,H1,pdz3,PL0001,0,1,6.0,9.430499999999999,0.02400000000000002
487,pdz1,A2,sh31,PL0001,0,2,6.0,4.862,0.0040000000000000036
488,pdz1,B2,sh33,PL0001,0,2,6.0,3.9395,0.0040000000000000036
489,pdz3,C2,sh31,PL0001,0,2,6.0,5.7645,0.008000000000000007
490,pdz3,D2,sh33,PL0001,0,2,6.0,5.6435,0.008000000000000007
491,sh31,E2,pdz1,PL0001,0,2,6.0,5.9784999999999995,0.01200000000000001
492,sh31,F2,pdz3,PL0001,0,2,6.0,6.2325,0.016000000000000014
493,sh33,G2,pdz1,PL0001,0,2,6.0,6.345000000000001,0.01200000000000001
494,sh33,H2,pdz3,PL0001,0,2,6.0,9.059,0.028000000000000025
495,pdz1,A3,sh31,PL0001,0,3,6.0,4.285,0.0040000000000000036
496,pdz1,B3,sh33,PL0001,0,3,6.0,3.9155,0.0040000000000000036
497,pdz3,C3,sh31,PL0001,0,3,6.0,5.5535,0.01200000000000001
498,pdz3,D3,sh33,PL0001,0,3,6.0,5.1545,0.01200000000000001
499,sh31,E3,pdz1,PL0001,0,3,6.0,5.075000000000001,0.01200000000000001
500,sh31,F3,pdz3,PL0001,0,3,6.0,5.996,0.016000000000000014
501,sh33,G3,pdz1,PL0001,0,3,6.0,4.695499999999999,0.0040000000000000036
502,sh33,H3,pdz3,PL0001,0,3,6.0,8.8865,0.016000000000000014
503,pdz1,A4,sh31,PL0001,5,1,6.0,4.869999999999999,0.0040000000000000036
504,pdz1,B4,sh33,PL0001,5,1,6.0,3.5895,0.0040000000000000036
505,pdz3,C4,sh31,PL0001,5,1,6.0,3.7430000000000003,0.0040000000000000036
506,pdz3,D4,sh33,PL0001,5,1,6.0,5.465,0.01200000000000001
507,sh31,E4,pdz1,PL0001,5,1,6.0,6.147,0.020000000000000018
508,sh31,F4,pdz3,PL0001,5,1,6.0,6.078499999999999,0.008000000000000007
509,sh33,G4,pdz1,PL0001,5,1,6.0,6.571999999999999,0.01200000000000001
510,sh33,H4,pdz3,PL0001,5,1,6.0,11.76,0.03599999999999959
511,pdz1,A5,sh31,PL0001,5,2,6.0,3.8075,0.0040000000000000036
512,pdz1,B5,sh33,PL0001,5,2,6.0,3.0465,0.0040000000000000036
513,pdz3,C5,sh31,PL0001,5,2,6.0,4.354500000000001,0.008000000000000007
514,pdz3,D5,sh33,PL0001,5,2,6.0,4.534,0.008000000000000007
515,sh31,E5,pdz1,PL0001,5,2,6.0,4.868,0.01200000000000001
516,sh31,F5,pdz3,PL0001,5,2,6.0,5.292,0.01200000000000001
517,sh33,G5,pdz1,PL0001,5,2,6.0,6.025,0.015999999999999903
518,sh33,H5,pdz3,PL0001,5,2,6.0,8.3925,0.020000000000000018
519,pdz1,A6,sh31,PL0001,5,3,6.0,4.396,0.0040000000000000036
520,pdz1,B6,sh33,PL0001,5,3,6.0,3.4560000000000004,0.0040000000000000036
521,pdz3,C6,sh31,PL0001,5,3,6.0,5.1045,0.008000000000000007
522,pdz3,D6,sh33,PL0001,5,3,6.0,4.848,0.008000000000000007
523,sh31,E6,pdz1,PL0001,5,3,6.0,5.503500000000001,0.008000000000000007
524,sh31,F6,pdz3,PL0001,5,3,6.0,5.1419999999999995,0.01200000000000001
525,sh33,G6,pdz1,PL0001,5,3,6.0,6.633500000000001,0.016000000000000014
526,sh33,H6,pdz3,PL0001,5,3,6.0,7.8515,0.016000000000000014
527,pdz1,A7,sh31,PL0001,10,1,6.0,4.124499999999999,0.0040000000000000036
528,pdz1,B7,sh33,PL0001,10,1,6.0,3.1660000000000004,0.0040000000000000036
529,pdz3,C7,sh31,PL0001,10,1,6.0,3.6865,0.0040000000000000036
530,pdz3,D7,sh33,PL0001,10,1,6.0,4.571,0.008000000000000007
531,sh31,E7,pdz1,PL0001,10,1,6.0,4.5085,0.01200000000000001
532,sh31,F7,pdz3,PL0001,10,1,6.0,5.6905,0.01200000000000001
533,sh33,G7,pdz1,PL0001,10,1,6.0,4.964,0.008000000000000007
534,sh33,H7,pdz3,PL0001,10,1,6.0,9.5145,0.03200000000000003
535,pdz1,A8,sh31,PL0001,10,2,6.0,3.6330000000000005,0.0040000000000000036
536,pdz1,B8,sh33,PL0001,10,2,6.0,3.1195000000000004,0.0040000000000000036
537,pdz3,C8,sh31,PL0001,10,2,6.0,5.546499999999999,0.016000000000000014
538,pdz3,D8,sh33,PL0001,10,2,6.0,4.561,0.01200000000000001
539,sh31,E8,pdz1,PL0001,10,2,6.0,4.7315000000000005,0.008000000000000007
540,sh31,F8,pdz3,PL0001,10,2,6.0,6.031,0.016000000000000014
541,sh33,G8,pdz1,PL0001,10,2,6.0,4.563000000000001,0.008000000000000007
542,sh33,H8,pdz3,PL0001,10,2,6.0,9.952499999999999,0.03200000000000003
543,pdz1,A9,sh31,PL0001,10,3,6.0,3.942,0.0040000000000000036
544,pdz1,B9,sh33,PL0001,10,3,6.0,3.3165,0.0040000000000000036
545,pdz3,C9,sh31,PL0001,10,3,6.0,4.6175,0.008000000000000007
546,pdz3,D9,sh33,PL0001,10,3,6.0,5.332000000000001,0.016000000000000014
547,sh31,E9,pdz1,PL0001,10,3,6.0,5.318499999999999,0.01200000000000001
548,sh31,F9,pdz3,PL0001,10,3,6.0,4.7135,0.01200000000000001
549,sh33,G9,pdz1,PL0001,10,3,6.0,6.9505,0.02400000000000002
550,sh33,H9,pdz3,PL0001,10,3,6.0,9.2425,0.02400000000000002
551,pdz1,A10,sh31,PL0001,20,1,6.0,4.1215,0.0040000000000000036
552,pdz1,B10,sh33,PL0001,20,1,6.0,3.2150000000000003,0.0040000000000000036
553,pdz3,C10,sh31,PL0001,20,1,6.0,3.4095000000000004,0.0040000000000000036
554,pdz3,D10,sh33,PL0001,20,1,6.0,5.865499999999999,0.020000000000000018
555,sh31,E10,pdz1,PL0001,20,1,6.0,4.906000000000001,0.016000000000000014
556,sh31,F10,pdz3,PL0001,20,1,6.0,5.001,0.008000000000000007
557,sh33,G10,pdz1,PL0001,20,1,6.0,4.441,0.0040000000000000036
558,sh33,H10,pdz3,PL0001,20,1,6.0,9.745999999999999,0.03600000000000003
559,pdz1,A11,sh31,PL0001,20,2,6.0,3.8000000000000003,0.0040000000000000036
560,pdz1,B11,sh33,PL0001,20,2,6.0,3.3615000000000004,0.0040000000000000036
561,pdz3,C11,sh31,PL0001,20,2,6.0,5.228,0.016000000000000014
562,pdz3,D11,sh33,PL0001,20,2,6.0,4.914500000000001,0.016000000000000014
563,sh31,E11,pdz1,PL0001,20,2,6.0,3.595,0.0040000000000000036
564,sh31,F11,pdz3,PL0001,20,2,6.0,5.9254999999999995,0.01200000000000001
565,sh33,G11,pdz1,PL0001,20,2,6.0,5.195,0.008000000000000007
566,sh33,H11,pdz3,PL0001,20,2,6.0,7.5525,0.020000000000000018
567,pdz1,A12,sh31,PL0001,20,3,6.0,3.715500000000001,0.0040000000000000036
568,pdz1,B12,sh33,PL0001,20,3,6.0,3.7915,0.0040000000000000036
569,pdz3,C12,sh31,PL0001,20,3,6.0,5.309500000000001,0.008000000000000007
570,pdz3,D12,sh33,PL0001,20,3,6.0,4.28,0.008000000000000007
571,sh31,E12,pdz1,PL0001,20,3,6.0,5.1775,0.008000000000000007
572,sh31,F12,pdz3,PL0001,20,3,6.0,6.1095,0.016000000000000014
573,sh33,G12,pdz1,PL0001,20,3,6.0,5.0325,0.008000000000000007
574,sh33,H12,pdz3,PL0001,20,3,6.0,7.484,0.016000000000000014
575,pdz1,A1,sh31,BY4741,0,1,7.0,7.044500000000001,0.008000000000000007
576,pdz1,B1,sh33,BY4741,0,1,7.0,5.968499999999999,0.0040000000000000036
577,pdz3,C1,sh31,BY4741,0,1,7.0,7.398999999999999,0.01200000000000001
578,pdz3,D1,sh33,BY4741,0,1,7.0,9.035,0.020000000000000018
579,sh31,E1,pdz1,BY4741,0,1,7.0,9.325999999999999,0.020000000000000018
580,sh31,F1,pdz3,BY4741,0,1,7.0,9.878500000000003,0.02400000000000002
581,sh33,G1,pdz1,BY4741,0,1,7.0,9.859499999999999,0.020000000000000018
582,sh33,H1,pdz3,BY4741,0,1,7.0,15.321000000000002,0.052000000000000046
583,pdz1,A2,sh31,BY4741,0,2,7.0,5.047499999999999,0.0040000000000000036
584,pdz1,B2,sh33,BY4741,0,2,7.0,4.656499999999999,0.008000000000000007
585,pdz3,C2,sh31,BY4741,0,2,7.0,7.328999999999999,0.016000000000000014
586,pdz3,D2,sh33,BY4741,0,2,7.0,5.625499999999999,0.008000000000000007
587,sh31,E2,pdz1,BY4741,0,2,7.0,7.6835,0.020000000000000018
588,sh31,F2,pdz3,BY4741,0,2,7.0,8.0975,0.016000000000000014
589,sh33,G2,pdz1,BY4741,0,2,7.0,8.465499999999999,0.020000000000000018
590,sh33,H2,pdz3,BY4741,0,2,7.0,14.410499999999999,0.05600000000000005
591,pdz1,A3,sh31,BY4741,0,3,7.0,6.5969999999999995,0.007999999999999952
592,pdz1,B3,sh33,BY4741,0,3,7.0,5.884499999999999,0.0040000000000000036
593,pdz3,C3,sh31,BY4741,0,3,7.0,7.233499999999999,0.01200000000000001
594,pdz3,D3,sh33,BY4741,0,3,7.0,5.696499999999999,0.008000000000000007
595,sh31,E3,pdz1,BY4741,0,3,7.0,8.0365,0.016000000000000014
596,sh31,F3,pdz3,BY4741,0,3,7.0,12.033999999999999,0.03600000000000003
597,sh33,G3,pdz1,BY4741,0,3,7.0,7.2805,0.016000000000000014
598,sh33,H3,pdz3,BY4741,0,3,7.0,11.023499999999999,0.03200000000000003
599,pdz1,A4,sh31,BY4741,5,1,7.0,6.871500000000001,0.008000000000000007
600,pdz1,B4,sh33,BY4741,5,1,7.0,5.854000000000001,0.0040000000000000036
601,pdz3,C4,sh31,BY4741,5,1,7.0,8.518,0.016000000000000014
602,pdz3,D4,sh33,BY4741,5,1,7.0,7.994500000000002,0.016000000000000014
603,sh31,E4,pdz1,BY4741,5,1,7.0,10.554000000000002,0.028000000000000025
604,sh31,F4,pdz3,BY4741,5,1,7.0,9.377,0.020000000000000018
605,sh33,G4,pdz1,BY4741,5,1,7.0,12.124500000000001,0.028000000000000025
606,sh33,H4,pdz3,BY4741,5,1,7.0,16.442,0.04800000000000004
607,pdz1,A5,sh31,BY4741,5,2,7.0,6.284500000000001,0.0040000000000000036
608,pdz1,B5,sh33,BY4741,5,2,7.0,5.250499999999999,0.0040000000000000036
609,pdz3,C5,sh31,BY4741,5,2,7.0,8.698000000000002,0.016000000000000014
610,pdz3,D5,sh33,BY4741,5,2,7.0,7.6165,0.01200000000000001
611,sh31,E5,pdz1,BY4741,5,2,7.0,7.1495,0.016000000000000014
612,sh31,F5,pdz3,BY4741,5,2,7.0,11.090999999999998,0.02400000000000002
613,sh33,G5,pdz1,BY4741,5,2,7.0,12.109000000000002,0.03599999999999981
614,sh33,H5,pdz3,BY4741,5,2,7.0,14.746500000000001,0.04800000000000004
615,pdz1,A6,sh31,BY4741,5,3,7.0,5.819500000000001,0.0040000000000000036
616,pdz1,B6,sh33,BY4741,5,3,7.0,6.466000000000001,0.008000000000000007
617,pdz3,C6,sh31,BY4741,5,3,7.0,7.879000000000002,0.01200000000000001
618,pdz3,D6,sh33,BY4741,5,3,7.0,7.451500000000001,0.016000000000000014
619,sh31,E6,pdz1,BY4741,5,3,7.0,10.904500000000002,0.028000000000000025
620,sh31,F6,pdz3,BY4741,5,3,7.0,9.943,0.028000000000000025
621,sh33,G6,pdz1,BY4741,5,3,7.0,7.531,0.016000000000000014
622,sh33,H6,pdz3,BY4741,5,3,7.0,15.7595,0.05600000000000005
623,pdz1,A7,sh31,BY4741,10,1,7.0,6.4049999999999985,0.0040000000000000036
624,pdz1,B7,sh33,BY4741,10,1,7.0,5.7059999999999995,0.0040000000000000036
625,pdz3,C7,sh31,BY4741,10,1,7.0,8.079500000000001,0.016000000000000014
626,pdz3,D7,sh33,BY4741,10,1,7.0,9.232500000000002,0.027999999999999803
627,sh31,E7,pdz1,BY4741,10,1,7.0,8.938500000000001,0.020000000000000018
628,sh31,F7,pdz3,BY4741,10,1,7.0,11.012500000000001,0.028000000000000025
629,sh33,G7,pdz1,BY4741,10,1,7.0,11.120500000000002,0.020000000000000018
630,sh33,H7,pdz3,BY4741,10,1,7.0,16.078500000000002,0.04800000000000004
631,pdz1,A8,sh31,BY4741,10,2,7.0,6.268999999999998,0.0040000000000000036
632,pdz1,B8,sh33,BY4741,10,2,7.0,5.324999999999998,0.008000000000000007
633,pdz3,C8,sh31,BY4741,10,2,7.0,8.676499999999999,0.019999999999999796
634,pdz3,D8,sh33,BY4741,10,2,7.0,7.0805,0.008000000000000007
635,sh31,E8,pdz1,BY4741,10,2,7.0,7.5455,0.01200000000000001
636,sh31,F8,pdz3,BY4741,10,2,7.0,12.829,0.03600000000000003
637,sh33,G8,pdz1,BY4741,10,2,7.0,16.178,0.03600000000000003
638,sh33,H8,pdz3,BY4741,10,2,7.0,13.841000000000001,0.04400000000000004
639,pdz1,A9,sh31,BY4741,10,3,7.0,5.263999999999999,0.0040000000000000036
640,pdz1,B9,sh33,BY4741,10,3,7.0,6.8545,0.008000000000000007
641,pdz3,C9,sh31,BY4741,10,3,7.0,9.578499999999998,0.028000000000000025
642,pdz3,D9,sh33,BY4741,10,3,7.0,6.503499999999999,0.015999999999999903
643,sh31,E9,pdz1,BY4741,10,3,7.0,8.2795,0.020000000000000018
644,sh31,F9,pdz3,BY4741,10,3,7.0,10.652000000000001,0.03200000000000003
645,sh33,G9,pdz1,BY4741,10,3,7.0,7.359999999999999,0.020000000000000018
646,sh33,H9,pdz3,BY4741,10,3,7.0,15.978,0.04800000000000004
647,pdz1,A10,sh31,BY4741,20,1,7.0,6.234000000000001,0.0040000000000000036
