,plate,well,D12,D3,strain,condition,auc,dgr
0,3,A1,SH3,empty,BY4741-mVenus-D3,MTX,183.90749999999997,0.1080000000000001
1,3,B1,GBD,empty,BY4741-mVenus-D3,MTX,146.8995,0.09999999999999964
2,3,C1,GRB2,empty,BY4741-mVenus-D3,MTX,184.98,0.1160000000000001
3,3,D1,pdz1,empty,BY4741-mVenus-D3,MTX,114.8245,0.08399999999999963
4,3,E1,pdz2,empty,BY4741-mVenus-D3,MTX,15.238500000000002,0.01200000000000001
5,3,F1,pdz3,empty,BY4741-mVenus-D3,MTX,146.9545,0.09999999999999964
6,3,G1,sh31,empty,BY4741-mVenus-D3,MTX,146.2155,0.09599999999999964
7,3,H1,sh32,empty,BY4741-mVenus-D3,MTX,159.149,0.10400000000000009
8,3,A2,SH3,empty,BY4741-mVenus-D3,MTX,166.23950000000002,0.11199999999999966
9,3,B2,GBD,empty,BY4741-mVenus-D3,MTX,130.1465,0.09200000000000008
10,3,C2,GRB2,empty,BY4741-mVenus-D3,MTX,164.008,0.1080000000000001
11,3,D2,pdz1,empty,BY4741-mVenus-D3,MTX,136.35649999999998,0.09200000000000008
12,3,E2,pdz2,empty,BY4741-mVenus-D3,MTX,12.751000000000005,0.008000000000000007
13,3,F2,pdz3,empty,BY4741-mVenus-D3,MTX,124.25049999999999,0.08800000000000008
14,3,G2,sh31,empty,BY4741-mVenus-D3,MTX,128.42649999999998,0.08800000000000008
15,3,H2,sh32,empty,BY4741-mVenus-D3,MTX,166.49900000000002,0.1120000000000001
16,3,A3,SH3,empty,BY4741-mVenus-D3,MTX,218.76350000000002,0.12400000000000011
17,3,B3,GBD,empty,BY4741-mVenus-D3,MTX,136.77799999999996,0.08800000000000008
18,3,C3,GRB2,empty,BY4741-mVenus-D3,MTX,189.774,0.11599999999999966
19,3,D3,pdz1,empty,BY4741-mVenus-D3,MTX,151.144,0.09200000000000008
20,3,E3,pdz2,empty,BY4741-mVenus-D3,MTX,23.0865,0.016000000000000014
21,3,F3,pdz3,empty,BY4741-mVenus-D3,MTX,147.8155,0.09600000000000009
22,3,G3,sh31,empty,BY4741-mVenus-D3,MTX,135.682,0.08800000000000008
23,3,H3,sh32,empty,BY4741-mVenus-D3,MTX,176.8985,0.1120000000000001
24,3,A4,sh33,empty,BY4741-mVenus-D3,MTX,121.553,0.08800000000000008
25,3,B4,sh34,empty,BY4741-mVenus-D3,MTX,128.47700000000003,0.09200000000000008
26,3,C4,gbd1,empty,BY4741-mVenus-D3,MTX,118.68449999999999,0.08400000000000007
27,3,D4,gab2,empty,BY4741-mVenus-D3,MTX,131.412,0.09600000000000009
28,3,E4,empty,empty,BY4741-mVenus-D3,MTX,137.68,0.09599999999999964
29,3,G4,empty,PDZ,BY4741-mVenus-D12,MTX,158.869,0.10799999999999965
30,3,H4,empty,SH3,BY4741-mVenus-D12,MTX,209.2995,0.1200000000000001
31,3,A5,sh33,empty,BY4741-mVenus-D3,MTX,138.5875,0.09200000000000008
32,3,B5,sh34,empty,BY4741-mVenus-D3,MTX,136.9905,0.08800000000000008
33,3,C5,gbd1,empty,BY4741-mVenus-D3,MTX,127.32400000000001,0.08800000000000008
34,3,D5,gab2,empty,BY4741-mVenus-D3,MTX,109.53,0.08000000000000007
35,3,E5,empty,empty,BY4741-mVenus-D3,MTX,122.988,0.08000000000000007
36,3,G5,empty,PDZ,BY4741-mVenus-D12,MTX,127.927,0.08800000000000008
37,3,H5,empty,SH3,BY4741-mVenus-D12,MTX,151.32549999999998,0.10400000000000009
38,3,A6,sh33,empty,BY4741-mVenus-D3,MTX,159.62099999999998,0.09999999999999964
