plate,well,D12,D3,strain,condition,auc,dgr
2,B11,empty,pdz.1,BY4741,MTX,11.05014,0.04552
2,C11,empty,pdz.2,BY4741,MTX,4.7325025,0.014
2,D11,empty,pdz.3,BY4741,MTX,14.429145,0.0585200000000001
2,E11,empty,sh3.1,BY4741,MTX,7.731225,0.0318800000000001
2,F11,empty,sh3.2,BY4741,MTX,6.18986,0.02108
2,G11,empty,sh3.3,BY4741,MTX,8.663525,0.0347200000000001
2,H11,empty,sh3.4,BY4741,MTX,11.521005,0.0543199999999999
2,A12,empty,GRB2,BY4741,MTX,12.5904025,0.05328
2,B12,empty,pdz.1,BY4741,MTX,12.4124475,0.0400800000000001
2,C12,empty,pdz.2,BY4741,MTX,7.3031075,0.015
2,D12,empty,pdz.3,BY4741,MTX,12.7634625,0.0598399999999999
2,E12,empty,sh3.1,BY4741,MTX,5.7102075,0.0204
2,F12,empty,sh3.2,BY4741,MTX,4.8447975,0.0168
2,G12,empty,sh3.3,BY4741,MTX,4.6611925,0.0155999999999999
2,H12,empty,sh3.4,BY4741,MTX,7.481995,0.03016
1,A1,empty,gbd1,BY4741,MTX,8.713085,0.01468
1,B1,empty,gab2,BY4741,MTX,20.56902,0.05508
1,C1,PDZ,pdz.1,BY4741,MTX,87.274885,0.10372
1,D1,PDZ,pdz.2,BY4741,MTX,47.80645,0.0781200000000002
1,E1,PDZ,pdz.3,BY4741,MTX,54.57143,0.0870799999999998
1,F1,SH3,sh3.1,BY4741,MTX,95.411885,0.1138
1,G1,SH3,sh3.2,BY4741,MTX,59.126225,0.08812
1,H1,SH3,sh3.3,BY4741,MTX,59.466225,0.0873199999999996
1,A2,empty,gbd1,BY4741,MTX,9.21765,0.0148000000000001
1,B2,empty,gab2,BY4741,MTX,19.77908,0.0514800000000002
1,C2,PDZ,pdz.1,BY4741,MTX,92.25827,0.11048
1,D2,PDZ,pdz.2,BY4741,MTX,52.574335,0.0802000000000001
1,E2,PDZ,pdz.3,BY4741,MTX,51.34934,0.0848
1,F2,SH3,sh3.1,BY4741,MTX,94.991,0.1136
1,G2,SH3,sh3.2,BY4741,MTX,67.48223,0.08432
1,H2,SH3,sh3.3,BY4741,MTX,58.266455,0.0887199999999999
1,A3,empty,gbd1,BY4741,MTX,9.01302,0.013
1,B3,empty,gab2,BY4741,MTX,25.167425,0.0556000000000001
1,C3,PDZ,pdz.1,BY4741,MTX,89.986235,0.1072
1,D3,PDZ,pdz.2,BY4741,MTX,58.631455,0.0816000000000003
1,E3,PDZ,pdz.3,BY4741,MTX,55.830445,0.0836799999999998
1,F3,SH3,sh3.1,BY4741,MTX,98.579445,0.11408
1,G3,SH3,sh3.2,BY4741,MTX,60.24906,0.0878799999999997
1,H3,SH3,sh3.3,BY4741,MTX,64.311745,0.0871999999999997
1,A4,empty,gbd1,BY4741,MTX,7.21734,0.01032
1,B4,empty,gab2,BY4741,MTX,12.82169,0.0528
1,C4,PDZ,pdz.1,BY4741,MTX,84.906295,0.10744
1,D4,PDZ,pdz.2,BY4741,MTX,48.358485,0.0789200000000001
1,E4,PDZ,pdz.3,BY4741,MTX,49.329105,0.08392
1,F4,SH3,sh3.1,BY4741,MTX,98.69364,0.11448
1,G4,SH3,sh3.2,BY4741,MTX,64.19744,0.0901999999999998
1,H4,SH3,sh3.3,BY4741,MTX,62.71771,0.0903999999999998
1,A5,SH3,sh3.4,BY4741,MTX,62.543365,0.08432
1,B5,gbd1,GBD,BY4741,MTX,14.584025,0.0404800000000001
1,C5,GRB2,gab2,BY4741,MTX,101.07772,0.11296
1,D5,pdz.1,PDZ,BY4741,MTX,71.241215,0.089
1,E5,pdz.2,PDZ,BY4741,MTX,13.333455,0.0376000000000001
1,F5,pdz.3,PDZ,BY4741,MTX,38.079605,0.0632000000000001
1,G5,sh3.1,SH3,BY4741,MTX,95.342145,0.1106
1,H5,sh3.2,SH3,BY4741,MTX,54.357145,0.0840400000000003
1,A6,SH3,sh3.4,BY4741,MTX,57.109205,0.0857999999999999
1,B6,gbd1,GBD,BY4741,MTX,22.69797,0.0425199999999999
1,C6,GRB2,gab2,BY4741,MTX,98.228535,0.1114
1,D6,pdz.1,PDZ,BY4741,MTX,82.971075,0.0893999999999999
1,E6,pdz.2,PDZ,BY4741,MTX,17.03359,0.0394000000000001
1,F6,pdz.3,PDZ,BY4741,MTX,25.695785,0.0548800000000003
1,G6,sh3.1,SH3,BY4741,MTX,97.886165,0.110880000000001
1,H6,sh3.2,SH3,BY4741,MTX,57.976765,0.08188
1,A7,SH3,sh3.4,BY4741,MTX,51.89135,0.0860400000000001
1,B7,gbd1,GBD,BY4741,MTX,10.85087,0.0347200000000001
1,C7,GRB2,gab2,BY4741,MTX,93.643305,0.11172
1,D7,pdz.1,PDZ,BY4741,MTX,65.402675,0.0869600000000004
1,E7,pdz.2,PDZ,BY4741,MTX,12.418435,0.03912
1,F7,pdz.3,PDZ,BY4741,MTX,30.567905,0.0591999999999997
1,G7,sh3.1,SH3,BY4741,MTX,97.98021,0.11184
1,H7,sh3.2,SH3,BY4741,MTX,51.72261,0.0791999999999995
1,A8,SH3,sh3.4,BY4741,MTX,57.55988,0.0884800000000001
1,B8,gbd1,GBD,BY4741,MTX,12.893855,0.03728
1,C8,GRB2,gab2,BY4741,MTX,102.690755,0.11804
1,D8,pdz.1,PDZ,BY4741,MTX,72.658395,0.0924399999999999
1,E8,pdz.2,PDZ,BY4741,MTX,10.98907,0.03332
1,F8,pdz.3,PDZ,BY4741,MTX,22.2256,0.0569200000000001
1,G8,sh3.1,SH3,BY4741,MTX,94.771475,0.11088
1,H8,sh3.2,SH3,BY4741,MTX,52.95641,0.0821199999999998
