,strain,D12,D3,plate,well,col,row,replicate,estradiol,auc,dgr
0,PL0012,sh3.1,pdz.1,1,A1,1,A,1,0,8.9215,0.00800000000000001
1,PL0012,sh3.1,pdz.1,1,A2,2,A,2,0,7.532,0.004
2,PL0012,sh3.1,pdz.1,1,A3,3,A,3,0,8.256,0.00800000000000001
3,PL0012,sh3.1,pdz.1,1,A4,4,A,1,5,17.242,0.028
4,PL0012,sh3.1,pdz.1,1,A5,5,A,2,5,19.398,0.036
5,PL0012,sh3.1,pdz.1,1,A6,6,A,3,5,18.618,0.04
6,PL0012,sh3.1,pdz.1,1,A7,7,A,1,10,39.5945,0.0640000000000001
7,PL0012,sh3.1,pdz.1,1,A8,8,A,2,10,30.292,0.0600000000000001
8,PL0012,sh3.1,pdz.1,1,A9,9,A,3,10,40.43,0.0680000000000001
9,PL0012,sh3.1,pdz.1,1,A10,10,A,1,20,48.648,0.0760000000000001
10,PL0012,sh3.1,pdz.1,1,A11,11,A,2,20,46.7815,0.0799999999999996
11,PL0012,sh3.1,pdz.1,1,A12,12,A,3,20,49.2545,0.0840000000000001
12,PL0012,sh3.3,pdz.3,1,B1,1,B,1,0,10.4455,0.012
13,PL0012,sh3.3,pdz.3,1,B2,2,B,2,0,6.1155,0.00800000000000001
14,PL0012,sh3.3,pdz.3,1,B3,3,B,3,0,6.138,0.00800000000000001
15,PL0012,sh3.3,pdz.3,1,B4,4,B,1,5,9.3275,0.024
16,PL0012,sh3.3,pdz.3,1,B5,5,B,2,5,6.731,0.00800000000000001
17,PL0012,sh3.3,pdz.3,1,B6,6,B,3,5,5.921,0.00800000000000001
18,PL0012,sh3.3,pdz.3,1,B7,7,B,1,10,7.6065,0.012
19,PL0012,sh3.3,pdz.3,1,B8,8,B,2,10,5.035,0.00800000000000001
20,PL0012,sh3.3,pdz.3,1,B9,9,B,3,10,6.496,0.016
21,PL0012,sh3.3,pdz.3,1,B10,10,B,1,20,7.5535,0.016
22,PL0012,sh3.3,pdz.3,1,B11,11,B,2,20,5.4915,0.00800000000000001
23,PL0012,sh3.3,pdz.3,1,B12,12,B,3,20,5.3845,0.00800000000000001
24,PL0012,sh3.1,pdz.3,1,C1,1,C,1,0,7.9105,0.004
25,PL0012,sh3.1,pdz.3,1,C2,2,C,2,0,11.8095,0.024
26,PL0012,sh3.1,pdz.3,1,C3,3,C,3,0,7.9145,0.012
27,PL0012,sh3.1,pdz.3,1,C4,4,C,1,5,7.754,0.00800000000000001
28,PL0012,sh3.1,pdz.3,1,C5,5,C,2,5,11.854,0.028
29,PL0012,sh3.1,pdz.3,1,C6,6,C,3,5,6.2855,0.00800000000000001
30,PL0012,sh3.1,pdz.3,1,C7,7,C,1,10,6.896,0.00800000000000001
31,PL0012,sh3.1,pdz.3,1,C8,8,C,2,10,10.6375,0.028
32,PL0012,sh3.1,pdz.3,1,C9,9,C,3,10,6.967,0.00800000000000001
33,PL0012,sh3.1,pdz.3,1,C10,10,C,1,20,7.3395,0.012
34,PL0012,sh3.1,pdz.3,1,C11,11,C,2,20,16.571,0.0599999999999996
35,PL0012,sh3.1,pdz.3,1,C12,12,C,3,20,9.136,0.02
36,PL0012,sh3.3,pdz.1,1,D1,1,D,1,0,7.573,0.004
37,PL0012,sh3.3,pdz.1,1,D2,2,D,2,0,6.549,0.004
38,PL0012,sh3.3,pdz.1,1,D3,3,D,3,0,5.8555,0.004
39,PL0012,sh3.3,pdz.1,1,D4,4,D,1,5,7.014,0.00800000000000001
40,PL0012,sh3.3,pdz.1,1,D5,5,D,2,5,5.8885,0.004
41,PL0012,sh3.3,pdz.1,1,D6,6,D,3,5,5.413,0.004
42,PL0012,sh3.3,pdz.1,1,D7,7,D,1,10,6.094,0.00800000000000001
43,PL0012,sh3.3,pdz.1,1,D8,8,D,2,10,5.332,0.004
44,PL0012,sh3.3,pdz.1,1,D9,9,D,3,10,6.3895,0.012
45,PL0012,sh3.3,pdz.1,1,D10,10,D,1,20,6.631,0.012
46,PL0012,sh3.3,pdz.1,1,D11,11,D,2,20,5.809,0.00800000000000001
47,PL0012,sh3.3,pdz.1,1,D12,12,D,3,20,6.154,0.00800000000000001
48,PL0012,pdz.3,sh3.3,1,E1,1,E,1,0,9.6555,0.012
49,PL0012,pdz.3,sh3.3,1,E2,2,E,2,0,6.625,0.004
50,PL0012,pdz.3,sh3.3,1,E3,3,E,3,0,6.2755,0.004
51,PL0012,pdz.3,sh3.3,1,E4,4,E,1,5,7.212,0.00800000000000001
52,PL0012,pdz.3,sh3.3,1,E5,5,E,2,5,6.8005,0.00800000000000001
53,PL0012,pdz.3,sh3.3,1,E6,6,E,3,5,4.9475,0.004
54,PL0012,pdz.3,sh3.3,1,E7,7,E,1,10,6.521,0.00800000000000001
55,PL0012,pdz.3,sh3.3,1,E8,8,E,2,10,5.042,0.00800000000000001
56,PL0012,pdz.3,sh3.3,1,E9,9,E,3,10,4.745,0.004
57,PL0012,pdz.3,sh3.3,1,E10,10,E,1,20,5.8065,0.00800000000000001
58,PL0012,pdz.3,sh3.3,1,E11,11,E,2,20,6.1575,0.012
59,PL0012,pdz.3,sh3.3,1,E12,12,E,3,20,5.0375,0.004
60,PL0012,pdz.1,sh3.3,1,F1,1,F,1,0,7.2115,0.004
61,PL0012,pdz.1,sh3.3,1,F2,2,F,2,0,6.7555,0.004
62,PL0012,pdz.1,sh3.3,1,F3,3,F,3,0,7.4485,0.004
63,PL0012,pdz.1,sh3.3,1,F4,4,F,1,5,6.077,0.004
64,PL0012,pdz.1,sh3.3,1,F5,5,F,2,5,5.696,0.004
65,PL0012,pdz.1,sh3.3,1,F6,6,F,3,5,5.6785,0.004
66,PL0012,pdz.1,sh3.3,1,F7,7,F,1,10,5.703,0.004
67,PL0012,pdz.1,sh3.3,1,F8,8,F,2,10,4.639,0.004
68,PL0012,pdz.1,sh3.3,1,F9,9,F,3,10,5.2185,0.004
69,PL0012,pdz.1,sh3.3,1,F10,10,F,1,20,5.5715,0.004
70,PL0012,pdz.1,sh3.3,1,F11,11,F,2,20,5.2275,0.004
71,PL0012,pdz.1,sh3.3,1,F12,12,F,3,20,5.6115,0.004
72,PL0012,pdz.3,sh3.1,1,G1,1,G,1,0,9.5615,0.00800000000000001
73,PL0012,pdz.3,sh3.1,1,G2,2,G,2,0,9.382,0.00800000000000001
74,PL0012,pdz.3,sh3.1,1,G3,3,G,3,0,9.2165,0.00800000000000001
75,PL0012,pdz.3,sh3.1,1,G4,4,G,1,5,7.9955,0.00800000000000001
76,PL0012,pdz.3,sh3.1,1,G5,5,G,2,5,8.39,0.00800000000000001
77,PL0012,pdz.3,sh3.1,1,G6,6,G,3,5,7.0365,0.012
78,PL0012,pdz.3,sh3.1,1,G7,7,G,1,10,7.291,0.012
79,PL0012,pdz.3,sh3.1,1,G8,8,G,2,10,7.06,0.012
80,PL0012,pdz.3,sh3.1,1,G9,9,G,3,10,5.441,0.00800000000000001
81,PL0012,pdz.3,sh3.1,1,G10,10,G,1,20,7.2515,0.012
82,PL0012,pdz.3,sh3.1,1,G11,11,G,2,20,6.9845,0.012
83,PL0012,pdz.3,sh3.1,1,G12,12,G,3,20,5.896,0.00800000000000001
84,PL0012,pdz.1,sh3.1,1,H1,1,H,1,0,7.4525,0.004
85,PL0012,pdz.1,sh3.1,1,H2,2,H,2,0,6.963,0.004
86,PL0012,pdz.1,sh3.1,1,H3,3,H,3,0,8.405,0.004
87,PL0012,pdz.1,sh3.1,1,H4,4,H,1,5,11.0025,0.012
88,PL0012,pdz.1,sh3.1,1,H5,5,H,2,5,11.7125,0.016
89,PL0012,pdz.1,sh3.1,1,H6,6,H,3,5,11.6145,0.016
90,PL0012,pdz.1,sh3.1,1,H7,7,H,1,10,17.6875,0.04
91,PL0012,pdz.1,sh3.1,1,H8,8,H,2,10,15.8815,0.044
92,PL0012,pdz.1,sh3.1,1,H9,9,H,3,10,20.9275,0.0560000000000001
93,PL0012,pdz.1,sh3.1,1,H10,10,H,1,20,19.9575,0.0599999999999998
94,PL0012,pdz.1,sh3.1,1,H11,11,H,2,20,25.5715,0.0640000000000001
95,PL0012,pdz.1,sh3.1,1,H12,12,H,3,20,26.3795,0.0720000000000001
96,PL0012,sh3.1,pdz.2,2,A1,1,A,1,0,5.6435,0.004
97,PL0012,sh3.1,pdz.2,2,A2,2,A,2,0,8.0865,0.052
98,PL0012,sh3.1,pdz.2,2,A3,3,A,3,0,5.6565,0.004
99,PL0012,sh3.1,pdz.2,2,A4,4,A,1,5,6.075,0.004
100,PL0012,sh3.1,pdz.2,2,A5,5,A,2,5,6.8855,0.004
101,PL0012,sh3.1,pdz.2,2,A6,6,A,3,5,6.538,0.00800000000000001
102,PL0012,sh3.1,pdz.2,2,A7,7,A,1,10,6.344,0.00800000000000001
103,PL0012,sh3.1,pdz.2,2,A8,8,A,2,10,8.2095,0.00800000000000001
104,PL0012,sh3.1,pdz.2,2,A9,9,A,3,10,8.6065,0.00800000000000001
105,PL0012,sh3.1,pdz.2,2,A10,10,A,1,20,6.49,0.00800000000000001
106,PL0012,sh3.1,pdz.2,2,A11,11,A,2,20,9.0035,0.012
107,PL0012,sh3.1,pdz.2,2,A12,12,A,3,20,7.815,0.00800000000000001
108,PL0012,sh3.2,pdz.2,2,B1,1,B,1,0,4.8825,0.004
109,PL0012,sh3.2,pdz.2,2,B2,2,B,2,0,4.4215,0.004
110,PL0012,sh3.2,pdz.2,2,B3,3,B,3,0,5.0215,0.004
