D12,D3,strain,well,plate,auc,dgr
152,152-1,BY4741,B4,5,66.42399999999999,0.10000000000000007
152,152-1,BY4741,B5,5,73.2185,0.10400000000000008
empty,152-1,BY4741,C4,7,5.231,0.004
empty,152-1,BY4741,C6,7,5.567500000000001,0.004
empty,152-1,BY4741,C5,7,5.567,0.004
empty,152-1,PL17,G6,2,49.63,0.08000000000000007
empty,152-1,PL17,G4,2,47.694500000000005,0.09199999999999964
empty,152-1,PL17,G5,2,49.41799999999999,0.08800000000000008
empty,214-3,PL17,G8,1,21.2525,0.06800000000000006
214,214-3,BY4741,C12,7,12.8205,0.04000000000000003
empty,214-3,BY4741,C8,6,6.110499999999999,0.004
empty,214-3,PL17,G7,1,22.432,0.05600000000000005
214,214-3,BY4741,C11,7,12.498499999999998,0.04800000000000004
246,214-3,BY4741,E7,4,5.8155,0.004
empty,214-3,PL17,G9,1,25.19,0.06400000000000006
246,214-3,BY4741,E8,4,6.196,0.008
246,214-3,BY4741,E9,4,4.659000000000001,0.004
empty,214-3,BY4741,C9,6,4.470000000000001,0.004
214,214-3,BY4741,C10,7,9.092,0.02400000000000002
empty,214-3,BY4741,C7,6,5.4765,0.004
246,214-4,BY4741,F8,4,5.250500000000001,0.004
empty,214-4,BY4741,D9,6,4.57,0.004
empty,214-4,PL17,H8,1,21.812,0.06000000000000005
246,214-4,BY4741,F9,4,4.2295,0.004
empty,214-4,BY4741,D8,6,2.9745,0.004
214,214-4,BY4741,D11,7,5.654000000000002,0.008
246,214-4,BY4741,F7,4,6.039,0.004
empty,214-4,PL17,H9,1,23.926,0.06400000000000006
214,214-4,BY4741,D12,7,6.256499999999999,0.008
empty,214-4,BY4741,D7,6,4.035500000000001,0.00799999999999995
214,214-4,BY4741,D10,7,6.719000000000002,0.008
empty,214-4,PL17,H7,1,21.682499999999997,0.05600000000000005
246,214-2,BY4741,G7,4,7.894,0.01200000000000001
empty,214-2,PL17,A12,1,57.26599999999999,0.08800000000000008
246,214-2,BY4741,G8,4,6.709000000000001,0.01200000000000001
empty,214-2,BY4741,E9,6,5.961499999999999,0.004
214,214-2,BY4741,E12,7,9.094,0.02000000000000001
empty,214-2,PL17,A11,1,53.340500000000006,0.08800000000000008
empty,214-2,BY4741,E8,6,2.9795,0.004
246,214-2,BY4741,G9,4,5.370000000000001,0.01200000000000001
empty,214-2,PL17,A10,1,40.47149999999999,0.07200000000000006
214,214-2,BY4741,E10,7,11.343,0.03600000000000003
214,214-2,BY4741,E11,7,11.358,0.03999999999999981
empty,214-2,BY4741,E7,6,4.6425,0.008
246,214-1,BY4741,H9,4,6.0295000000000005,0.004
246,214-1,BY4741,H8,4,6.009500000000001,0.004
246,214-1,BY4741,H7,4,7.4155,0.004
empty,214-1,BY4741,F8,6,5.2455,0.004
214,214-1,BY4741,F12,7,13.7625,0.05200000000000004
empty,214-1,PL17,B12,1,5.9464999999999995,0.004
empty,214-1,BY4741,F7,6,4.4595,0.004
empty,214-1,BY4741,F9,6,4.8475,0.004
214,214-1,BY4741,F11,7,10.707,0.02800000000000002
empty,214-1,PL17,B11,1,5.76,0.004
214,214-1,BY4741,F10,7,11.479000000000005,0.03600000000000003
empty,214-1,PL17,B10,1,4.2315,0.004
empty,214-5,BY4741,G9,6,5.6754999999999995,0.004
246,214-5,BY4741,A10,4,6.5329999999999995,0.01200000000000001
empty,214-5,BY4741,G8,6,5.5760000000000005,0.004
214,214-5,BY4741,G12,7,7.774000000000001,0.008
empty,214-5,PL17,C11,1,52.3995,0.09200000000000008
empty,214-5,PL17,C12,1,41.403000000000006,0.07599999999999962
246,214-5,BY4741,A11,4,7.151,0.008
214,214-5,BY4741,G11,7,7.011500000000001,0.008
empty,214-5,PL17,C10,1,37.38250000000001,0.07200000000000006
empty,214-5,BY4741,G7,6,5.594000000000001,0.008
214,214-5,BY4741,G10,7,7.602000000000002,0.01199999999999995
246,214-5,BY4741,A12,4,9.9345,0.02000000000000001
246,214-6,BY4741,B10,4,5.354500000000001,0.004
empty,214-6,BY4741,H9,6,6.297499999999999,0.004
