D12,D3,strain,well,plate,auc,dgr
empty,304-2,BY4741,E4,7,4.41,0.004
304,304-2,BY4741,C5,8,6.057000000000001,0.008
empty,304-2,PL17,A8,2,23.347000000000005,0.07200000000000006
empty,304-2,BY4741,E5,7,4.927999999999999,0.004
empty,304-4,PL17,B8,2,20.2555,0.08000000000000007
304,304-4,BY4741,D4,8,41.158,0.08400000000000007
empty,304-4,PL17,B9,2,22.8515,0.06000000000000005
empty,304-4,PL17,B7,2,19.7235,0.07199999999999984
250,304-4,BY4741,D5,5,4.539000000000001,0.004
304,304-4,BY4741,D5,8,30.2345,0.06800000000000006
304,304-4,BY4741,D6,8,28.892999999999997,0.06000000000000005
250,304-4,BY4741,D4,5,6.5554999999999986,0.02000000000000001
250,304-4,BY4741,D6,5,4.401499999999999,0.004
empty,304-4,BY4741,F4,7,4.722,0.004
empty,304-4,BY4741,F6,7,5.415000000000001,0.004
empty,304-4,BY4741,F5,7,4.681500000000001,0.004
empty,304-5,PL17,C7,2,24.2025,0.06400000000000006
250,304-5,BY4741,E5,5,5.4384999999999994,0.004
304,304-5,BY4741,E6,8,4.608999999999999,0.004
250,304-5,BY4741,E4,5,4.6265,0.004
empty,304-5,PL17,C8,2,22.9125,0.06800000000000006
304,304-5,BY4741,E5,8,5.98,0.008
empty,304-5,BY4741,G6,7,4.639500000000001,0.004
empty,304-5,PL17,C9,2,20.6745,0.06400000000000006
304,304-5,BY4741,E4,8,4.452499999999999,0.004
250,304-5,BY4741,E6,5,4.533999999999999,0.004
empty,304-5,BY4741,G5,7,5.099500000000001,0.004
empty,304-5,BY4741,G4,7,5.463500000000001,0.004
empty,304-1,PL17,D8,2,5.770000000000001,0.01200000000000001
250,304-1,BY4741,F6,5,4.140999999999999,0.004
250,304-1,BY4741,F4,5,4.436000000000001,0.004
250,304-1,BY4741,F5,5,4.5085,0.004
empty,304-1,PL17,D9,2,6.2204999999999995,0.01200000000000001
304,304-1,BY4741,F6,8,9.5695,0.03200000000000003
empty,304-1,BY4741,H5,7,5.5015,0.004
empty,304-1,BY4741,H4,7,5.9935,0.004
empty,304-1,PL17,D7,2,6.004499999999999,0.01200000000000001
304,304-1,BY4741,F5,8,12.497500000000002,0.04400000000000004
empty,304-1,BY4741,H6,7,6.875000000000002,0.004
304,304-1,BY4741,F4,8,7.255000000000001,0.02000000000000001
empty,304-6,BY4741,A8,7,7.407,0.004
304,304-6,BY4741,G6,8,7.871499999999999,0.02000000000000001
empty,304-6,BY4741,A9,7,6.5905,0.004
304,304-6,BY4741,G4,8,8.961500000000001,0.02400000000000002
empty,304-6,PL17,E9,2,26.942,0.07600000000000007
304,304-6,BY4741,G5,8,8.4410000000000025,0.02400000000000002
empty,304-6,PL17,E7,2,29.316999999999997,0.08800000000000008
empty,304-6,PL17,E8,2,41.2745,0.08000000000000007
empty,304-6,BY4741,A7,7,5.876000000000001,0.004
empty,304-7,PL17,F9,2,12.694,0.05600000000000005
250,304-7,BY4741,G4,5,4.5600000000000005,0.004
empty,304-7,BY4741,B7,7,5.033000000000001,0.004
250,304-7,BY4741,G6,5,5.034999999999999,0.004
250,304-7,BY4741,G5,5,4.4914999999999985,0.004
empty,304-7,BY4741,B9,7,4.525,0.004
empty,304-7,PL17,F8,2,18.2555,0.06400000000000006
304,304-7,BY4741,H4,8,6.729000000000001,0.008
304,304-7,BY4741,H6,8,7.294500000000001,0.008
empty,304-7,PL17,F7,2,16.0285,0.05600000000000005
empty,304-7,BY4741,B8,7,5.756499999999999,0.004
304,304-7,BY4741,H5,8,5.980500000000002,0.008
empty,363-3,PL17,G6,1,10.2845,0.03200000000000003
empty,363-3,BY4741,C5,6,4.948500000000001,0.004
empty,363-3,BY4741,C6,6,4.508999999999999,0.004
empty,363-3,PL17,G4,1,10.8495,0.03200000000000003
empty,363-3,PL17,G5,1,10.035,0.0279999999999998
363,363-3,BY4741,C7,7,64.233,0.10400000000000008
304,363-3,BY4741,F4,4,3.982499999999999,0.004
363,363-3,BY4741,C9,7,56.62349999999999,0.09600000000000009
304,363-3,BY4741,F6,4,5.7595,0.004
empty,363-3,BY4741,C4,6,5.0585,0.004
304,363-3,BY4741,F5,4,4.6610000000000005,0.004
363,363-3,BY4741,C8,7,70.5275,0.10400000000000008
304,363-1,BY4741,G5,4,5.473000000000001,0.008
empty,363-1,BY4741,D6,6,4.6869999999999985,0.004
304,363-1,BY4741,G6,4,6.334,0.008
empty,363-1,PL17,H5,1,24.346,0.05600000000000005
empty,363-1,BY4741,D5,6,4.5165,0.004
363,363-1,BY4741,D9,7,79.39450000000001,0.1120000000000001
304,363-1,BY4741,G4,4,4.865500000000001,0.004
empty,363-1,PL17,H4,1,20.5005,0.06000000000000005
empty,363-1,PL17,H6,1,15.1905,0.05600000000000005
363,363-1,BY4741,D8,7,77.5,0.1080000000000001
